id, Date,Type,From,To,FromSUM,FromCurrency,ToSUM,ToCurrency,Сomment
126,12.09.2021,Income,Salary,Cash,50,RUB,50,RUB,Питание
127,13.09.2021,Expenses,Cash,Столовая,5,RUB,5,RUB,Долг
128,13.09.2021,Expenses,Сбер ₽,Игры,398,RUB,398,RUB,
129,13.09.2021,Income,Salary,Cash,100,RUB,100,RUB,Питание
130,14.09.2021,Expenses,Cash,Столовая,5,RUB,5,RUB,
131,15.09.2021,Expenses,Cash,Столовая,35,RUB,35,RUB,
132,16.09.2021,Income,Salary,Cash,30,RUB,30,RUB,
133,17.09.2021,Income,Salary,Сбер ₽,104,RUB,104,RUB,
134,17.09.2021,Expenses,Сбер ₽,not stonks,60,RUB,60,RUB,Сбербанк
135,19.09.2021,Income,Salary,Cash,150,RUB,150,RUB,Питание
136,20.09.2021,Expenses,Cash,Столовая,35,RUB,35,RUB,
137,20.09.2021,Income,Salary,Cash,100,RUB,100,RUB,Питание
138,21.09.2021,Expenses,Cash,Столовая,50,RUB,50,RUB,
139,27.09.2021,Income,Salary,Cash,10,RUB,10,RUB,
140,27.09.2021,Income,Salary,Cash,150,RUB,150,RUB,Питание
141,28.09.2021,Expenses,Сбер ₽,not stonks,1,RUB,1,RUB,Дай пожалуйста
142,30.09.2021,Expenses,Cash,Столовая,50,RUB,50,RUB,
143,02.10.2021,Income,Salary,Cash,600,RUB,600,RUB,Усмон
144,02.10.2021,Income,Salary,Сбер ₽,300,RUB,300,RUB,Папа
145,03.10.2021,Income,Salary,Cash,200,RUB,200,RUB,Питание
146,04.10.2021,Expenses,Cash,Столовая,50,RUB,50,RUB,
147,04.10.2021,Transfer,Сбер ₽,Cash,100,RUB,100,RUB,Бабушка
148,05.10.2021,Expenses,Cash,Столовая,35,RUB,35,RUB,
149,06.10.2021,Transfer,Сбер ₽,Cash,200,RUB,200,RUB,Давид
150,06.10.2021,Expenses,Cash,Столовая,35,RUB,35,RUB,
151,08.10.2021,Income,Salary,Cash,200,RUB,200,RUB,Усмон
152,23.10.2021,Income,Salary,Cash,1170,RUB,1170,RUB,Копилка
153,24.10.2021,Transfer,Cash,Сбер ₽,250,RUB,250,RUB,
154,25.10.2021,Expenses,Сбер ₽,Игры,195,RUB,195,RUB,
155,26.10.2021,Transfer,Cash,Сбер ₽,1000,RUB,1000,RUB,Мама
156,26.10.2021,Expenses,Cash,not stonks,20,RUB,20,RUB,
